page	ligne	col	lu	corrige	vedette lue	vedette retenue	precedente	suivante
569	8	3	o	c	supo	supc	sundio	supear
570	21	3	o	c	suro	surc	sur	surda
570	43	0	a	s	aurmuleto	surmuleto	surmenar	surogato
573	38	8	o	c	takimetro	takimetrc	takigrafar	takimetrio
573	42	5	e	s	takimetrio	takimstrio	takimetro	takto
573	46	4	o	c	takto	taktc	takimetrio	taktiko
574	17	4	o	c	talio	talic	taliar	talicno
574	20	4	c	o	talicno	taliono	talio	talioro
575	30	3	o	c	tano	tanc	tamtamo	tandem
578	47	2	g	s	tage	tase	tannmturalo	taxar
579	13	1	e	c	teo	tco	tayo	teatro
580	15	4	c	o	teleclogio	teleologio	telegraso	telepatio
581	36	4	o	e	tendo	tende	tencho	tendencar
590	44	3	o	c	tolo	tolc	togo	toldo
591	10	3	b	h	tombako	tomhako	tombo	tono
591	12	3	o	c	tono	tonc	tombako	tondar
591	38	6	o	e	tonsilo	tonsile	tonika	tonsilito
591	55	2	n	o	tono	tooo	tontino	torida
594	28	4	o	c	trabo	trabc	tra	trabekulo
594	31	4	e	s	trabekulo	trabskulo	trabo	traco
596	13	3	s	m	traso	tramo	traktrico	tramplar
599	25	5	r	I	tremar	tremai	treliso	tremao
600	40	5	o	c	tribuo	tribuc	tribono	tribular
602	19	4	o	c	tripo	tripc	trinomio	triplikc
603	24	4	o	c	trogo	trogc	trofoplasmo	troglodito
605	9	5	o	c	trumpo	trumpc	trulo	trumpeto
605	58	3	o	b	tubo	tubb	tualetar	tubero
606	40	3	o	c	tulou	tulcu	tukano	tulipo
607	6	3	o	c	tuno	tunc	tumulo	tunelo
608	5	3	h	n	turhar	turnar	turmslino	turnirar
610	21	0	u	o	usmele	osmele	nmmmoo	uomelifera
614	26	1	a	e	vader	veder	vaoinio	vsflou
616	23	3	o	a	varo	vara	vapcro	varangc
617	21	3	o	c	vazo	vazc	vaxo	vazelino
618	14	3	o	c	velo	velc	vektoro	velinc
619	18	5	o	c	ventro	ventrc	ventilatoro	ventrikulo
619	51	4	a	s	verbasko	verbssko	verbc	verdigriso
620	33	4	o	c	vermo	vermc	verko	vermicelo
621	29	4	o	c	vespo	vespc	vervco	vespero
623	16	4	o	b	vicio	vicib	vicero	vicina
623	34	0	k	v	kigilar	vigilar	vielo	vigilio
623	43	2	a	k	viaario	vikario	vigoro	viktimo
624	52	3	l	1	violo	vio1o	vinyeto	violacar
625	18	3	o	c	viro	virc	vipero	virga
626	38	2	z	x	vizar	vixar	viviparo	vizajo
628	42	5	o	c	vomiko	vomikc	vomero	vomiknuco
628	52	4	o	c	vorto	vortc	vomitoric	vorticar
632	8	3	o	c	yarou	yarcu	yaktc	yardo
634	44	2	s	m	zisogeno	zimogeno	zimazo	zimologio
