page	ligne	col	lu	corrige	vedette lue	vedette retenue
210	12	1	y	r	syuelo	sruelo
210	21	1	y	r	gyumelo	grumelo
210	26	1	y	r	gyupc	grupc
210	29	0	s	g	sruzo	gruzo
210	35	0	g	s	gmano	smano
210	38	0	g	s	gpanino	spanino
211	45	4	a	s	gurmando	gurmsndo
212	2	0	s	l	smtaperkc	lmtaperkc
212	5	0	g	n	gmturc	nmturc
213	29	9	o	c	hagiografo	hagiografc
213	47	0	h	n	halofito	nalofito
213	51	0	h	b	halogena	balogena
214	5	0	h	b	halono	balono
214	17	1	m	a	lmltiko	laltiko
215	7	3	o	c	harou	harcu
215	37	4	o	c	harpo	harpc
216	24	0	h	b	hefo	befo
217	2	1	e	a	heleboro	haleboro
217	7	2	l	i	helio	heiio
218	17	2	s	m	beso	bemo
219	10	0	h	b	hepatito	bepatito
219	13	0	h	b	heptaedro	beptaedro
219	15	0	h	b	heptagonc	beptagonc
219	32	4	c	o	herbcro	herboro
220	43	0	b	h	beteroblastika	heteroblastika
220	48	0	b	)	betedoroxo	)etedoroxo
220	50	1	e	a	beterofila	baterofila
221	34	0	n	h	neaitar	hezitar
221	34	2	a	z	neaitar	hezitar
221	37	0	b	h	biacinto	hiacinto
223	9	4	c	o	hidrcmetrio	hidrometrio
223	20	9	o	c	hidroskopo	hidroskopc
223	35	4	o	a	hiero	hiera
224	30	0	h	b	himenio	bimenio
224	33	0	h	b	himenoptero	bimenoptero
224	36	0	h	b	himnc	bimnc
224	43	2	p	n	bipar	binar
225	28	4	o	c	hipootaI	hipoctaI
225	36	0	h	n	hipodermo	nipodermo
225	49	3	c	o	hipcgrifo	hipogrifo
227	2	4	e	a	histerio	histario
227	48	0	h	n	hoboyo	noboyo
227	52	0	h	n	hodografo	nodografo
228	37	1	c	p	hcmajo	hpmajo
228	42	0	h	)	homardo	)omardo
228	46	1	o	c	bomeopatio	bcmeopatio
228	52	1	o	e	bomeosexuala	bemeosexuala
229	3	1	o	b	homilio	hbmilio
229	48	0	h	n	hcnorario	ncnorario
229	55	0	h	b	hoplito	bbplito
229	55	1	o	b	hoplito	bbplito
230	29	0	h	b	hornblendc	bornblendc
230	37	0	h	b	hororar	bororar
230	42	0	h	b	horcskopo	boroskopo
230	42	3	c	o	horcskopo	boroskopo
230	46	0	h	b	hortensio	bortensio
231	15	0	h	b	huo	buo
232	2	0	b	"	bhura	"hura
232	6	0	h	)	hurdo	)urdo
232	9	1	u	e	buronala	beronala
233	33	3	o	c	ideo	idec
234	35	0	l	s	lsmorar	ssmorar
234	38	0	l	d	lgmano	dgmano
234	53	1	l	k	ilonografio	ikonografio
236	9	1	m	e	bmumI	beumI
236	37	0	g	s	gmrtelc	sertelc
236	37	1	m	e	gmrtelc	sertelc
236	41	0	m	s	mmedar	smedar
236	44	0	g	s	gmerar	smerar
236	48	0	g	s	gmerativo	smerativo
237	30	6	a	s	importacar	importscar
239	17	5	o	c	indico	indicc
239	42	2	i	d	iniijena	indijena
239	53	2	i	d	iniiviiuo	indiviiuo
240	51	1	r	n	irferar	inferar
241	21	1	h	n	ihfinitivo	infinitivo
242	15	0	r	n	rmmstar	nmmstar
242	17	0	r	n	rmuohar	nmuohar
242	25	0	n	r	nmrediento	rmrediento
244	57	1	p	n	ipstanco	instanco
248	39	4	o	c	inulo	inulc
249	9	4	n	o	inventar	inveotar
250	39	0	i	d	irisitc	drisitc
250	41	0	l	d	lritar	dritar
250	43	0	i	d	ironio	dronio
251	55	1	s	a	isegona	iaegona
252	9	2	m	e	hmmmmma	hmemmma
252	16	3	m	e	hmmmna	hmmena
253	33	1	s	a	jslspo	jalspo
254	2	0	h	D	hmm	Dmm
254	5	1	m	h	hmdiniero	hhdiniero
254	20	1	m	h	hmelino	hhelino
254	23	2	o	.	hmo	hm.
254	29	2	o	e	hmozio	hmezio
254	42	1	u	m	humr	hmsr
254	42	2	m	s	humr	hmsr
255	36	3	o	c	jino	jinc
255	38	3	s	e	jinsto	jineto
256	51	3	o	c	klio	klic
258	33	0	l	d	lmlmno	dmlmno
258	35	0	l	d	lmmdno	dmmdno
260	7	1	m	a	kmkar	kakar
260	9	3	a	e	kakao	kakeo
260	13	3	s	e	kakstuo	kaketuo
260	30	2	l	1	kalamino	ka1amino
260	33	2	l	1	kalamito	ka1amito
260	48	5	n	p	kalcinar	kalcipar
261	14	1	s	a	kslendario	kalendsrio
261	14	6	a	s	kslendario	kalendsrio
262	17	1	m	a	kmlmaro	kalmaro
262	33	0	k	l	kmloriko	lmloriko
263	46	2	n	a	kanalo	kaaalo
264	27	1	m	a	kmmilo	kamilo
265	11	5	o	c	kanabo	kanabc
265	19	5	o	c	kanalo	kanalc
265	40	5	l	1	kandelo	kande1o
266	2	1	m	a	kmrelo	karelo
266	14	2	r	n	kmrhmruo	kmnhmruo
266	19	0	l	k	lmnibalc	kmnibalc
266	28	1	a	s	kanina	ksnina
268	2	1	m	a	kmcso	kaoso
268	2	2	c	o	kmcso	kaoso
268	17	1	a	s	kapaca	kspaca
268	20	1	a	s	kapear	kspear
269	11	5	o	c	kapono	kaponc
269	27	4	o	c	kapro	kaprc
270	12	1	m	a	kmptacar	kaptacar
271	15	6	o	n	karavaoo	karavano
271	31	5	n	h	karbono	karboho
271	35	7	r	o	karbonaro	karbonaoo
272	34	0	l	k	lsrdioido	kardioido
272	34	1	s	a	lsrdioido	kardioido
273	28	5	a	s	karikatar	karikstar
274	10	1	a	m	karnivoro	kmrnivoro
274	19	0	k	l	karoto	larotc
274	19	5	o	c	karoto	larotc
