# page	ligne	plages (a-b, inclusives, en colonnes)
# Releve a l'oeil ; remplace la detection automatique pour ces lignes.
53	25	0-9,14-17
53	27	0-5,10-15
53	29	0-8,12-27
53	33	0-5
53	35	0-5,10-25
53	38	0-7
53	41	0-6,11-20
53	45	0-7
53	48	0-5,9-13
53	51	0-6
53	54	0-6
54	3	0-7
54	6	0-6,10-15
54	8	0-6,10-14
54	10	0-6,10-14
54	14	0-6,10-14
54	16	0-4
54	19	0-6,11-16
54	21	0-4,8-11
54	24	0-6,10-19
54	27	0-5
54	30	0-5
54	33	0-8
54	35	0-4
54	37	0-4
54	41	0-5
54	43	0-6
54	45	0-7,12-17
54	47	0-7,12-22
54	50	0-7,11-15
54	53	0-6,10-17,21-25
55	3	0-6,10-30
55	6	0-7,12-16
55	10	0-7,11-15
55	13	0-4,8-11
55	14	8-14
55	16	0-6,11-16
55	19	0-7,12-16
55	21	0-4,8-13
55	23	0-6,10-14
55	25	0-7
55	27	0-7
55	29	0-12
55	31	0-8,13-18
55	34	0-6,11-16
55	37	0-6
55	40	0-5
55	44	0-6
55	47	13-24
55	49	0-7
55	51	0-5
55	52	27-31
56	3	0-8,12-16,21-26
56	8	0-6,10-24
56	10	19-29
56	12	0-6
56	15	0-5
56	17	0-8
56	21	0-5
56	22	47-48
56	23	3-12,21-26,34-42
56	25	0-12
56	28	0-9,14-16
56	30	0-7
56	32	0-9
56	36	0-10
56	38	0-7,12-15,20-41
56	42	0-8,12-33
56	45	0-8
56	51	0-8
56	54	0-7
56	57	0-7
57	2	0-9
57	5	0-8
57	8	0-11,15-18
57	10	0-10,14-18
57	13	0-7,53-57
57	17	0-8,13-17
57	20	0-9
57	21	8-13
57	23	0-5
57	24	0-9,13-16
57	27	0-8,13-18
57	30	0-8,12-16
57	33	0-8,12-15
57	36	0-5
57	38	0-2
57	40	0-4,8-23
57	44	0-9,13-20,24-54
57	47	0-3
57	48	40-43
57	52	0-6,10-16,49-53
57	55	0-7
58	2	0-7
58	9	0-4
58	11	0-6,11-16
58	14	0-6,10-13
58	15	29-44
58	17	0-4,8-11
58	18	8-12
58	20	0-8,13-20
58	23	0-5
58	26	0-5,47-59
58	27	3-28
58	30	0-6,11-21
58	33	0-6,10-17,22-36
58	36	0-4
58	38	0-5,10-21
58	41	0-7
58	47	0-2,10-13
58	48	46-51
58	49	58-62
58	52	0-4,8-13
58	55	0-5
59	3	0-5,10-14
59	6	0-7
59	9	0-10
59	14	0-4
59	16	0-5,10-13
59	17	32-37
59	19	0-9,14-18
59	22	0-4
59	27	0-4
59	29	0-6
59	33	0-4,9-13
59	36	24-38
59	38	0-4
60	12	0-0,6-11
60	14	0-3,7-18
60	17	0-5
60	19	0-6,11-18
60	21	0-6
60	24	0-6,10-14
60	25	8-26
60	27	0-8
60	29	0-5,9-13
60	32	0-6
60	36	0-6,11-14
60	37	29-45
60	39	0-8,13-18
60	42	0-5
60	44	0-7
60	46	0-4
60	49	0-4,9-18
60	52	0-7
60	54	0-7,11-15
61	2	0-12
61	5	0-11
61	7	0-3
61	9	0-5
61	13	0-6
61	16	0-9
61	19	0-11
61	22	0-6
61	27	0-6,11-20
61	32	0-7,12-17
61	35	0-4
61	37	0-8
61	41	0-6
61	45	0-5,9-14
61	48	8-14
61	50	0-5
61	53	0-5
62	2	0-5,9-14
62	5	0-6
62	8	0-8
62	11	0-6
62	18	0-5,12-16
62	19	51-58
62	22	0-5
62	25	0-6,11-16
62	29	0-7,12-19,54-61
62	30	3-53
62	32	0-7
62	34	0-9
62	37	0-6,10-19
62	41	0-8
62	43	24-42
62	45	0-5,9-11
62	47	37-43
