vedetto	fako	senci	nomi_latina	simbolo_kemiala	lingui	kodo	pagino	ligno	imago	drapeli
aerometrio		La parto di fiziko qua studias la denseso-grado di aero, di gasi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	8	28	15	
aeroplano	aviaco	Mashino qua povas sustenar su super-sule, en atmosfero, sen esar plu lejera kam ica, efike da la preso da vento sur la surfaci inklinita di lua quaza ali			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	8	31	15	
aeroskopo		Instrumento per qua onu kolektas (por studiar li) la polvuni mikroskopala qui suspendesas en atmosfero			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	8	36	15	
aerostato		Balonego di qua la susteneso en atmosfero obtenesas per la uzo di gaso plu lejera kam aero			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	8	40	15	
afabla		Qua aceptas sua kunhomi benigne, aminde			Italiana,Hispana	IS	8	43	15	
afazio	patol.	Privaceso di la parol-fakultato, konjekteble pro lezuro cerebrala			Germana,Angla,Franca,Italiana,Hispana	DEFIS	8	45	15	
afecionar	trans.	Unionesar ad (ulu, ulo) per amo o prizo duranta			Angla,Franca,Italiana,Hispana	EFIS	8	48	15	
afektar	trans.	(medic.) (pri morbo) Efikar a la homo-korpo ¶ (psikol.) Efikar a la psiko			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	8	51	15	
afektacar	trans.	Esar, agar, kondutar en maniero qua esas nur la semblo (di ulo)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	9	3	16	
afelio	astron.	La punto di la orbito di planeto, ube la planeto distas maxime de Suno			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	9	6	16	
afero		To quon onu havas kom agenda (en maniero generala) ¶ (1) (politiko) To quo havas kom objekto la interesti di la stato. (2) To quo havas kom objekto la interesti privata. (3) komerco Vendo-kontrato. (4)(judicio) To quo esas la objekto di debato judiciala			Germana,Angla,Franca,Italiana,Rusa	DEFIR	9	9	16	
afidio	zool.	Insekto tre mikra qua adheras a la folii ed a la rami di la planti, por sugar li			Angla,Franca,Italiana,Hispana	EFIS	9	15	16	
afina	ad	Karakterizata da la tendenco a proximigar su (ad) ed ad unionar su (kun), a kombinar su (kun)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	9	18	16	
afirmar	trans.	Deklarar ke to o co esas vera			Germana,Angla,Franca,Italiana,Hispana	DEFIS	9	21	16	
afisho		Anunco a publiko per manuskriburo od imprimuro quan onu adherigas sur pordo, sur muro			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	9	23	16	
afixo	gram.	Partikulo quan onu adjuntas a la vorti por modifikar lia senco			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	9	26	16	
afliktar	trans.	Frapar dolorigante (lua) korpo o psiko			Angla,Franca,Italiana,Hispana	EFIS	9	29	16	
aforismo		Propoziciono pri ula cienco, arto, enuncita forme di sentenco			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	9	32	16	
afrankar	trans.	Dispensar la destinario de la pago di la transporto-kusto, per agar ta pago lor la expedio			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	9	35	16	
afrontar	trans.	Opozar su, fronto an fronto ¶ (metaf.) Abordar (danjero, tempesto) audacoze			Angla,Franca,Italiana,Hispana	EFIS	9	38	16	
afto	patol.	Mikra ulcero blankatra, qua aparas e kreskas sur la membrani mukoza di la boko o di faringo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	9	41	16	
afusto	artilerio	Suportilo di kanono			Franca,Italiana,Hispana	FIS	9	44	16	
afuzionar	trans.	Igar liquido fluar strate sur korpo-parto malada			Germana,Angla,Franca,Italiana,Hispana	DEFIS	9	46	16	
agar	trans.	Exekutar la gesti, la movi di la korpo o di parti di olu, la movi psikala, qui esas necesa			Germana,Franca,Italiana,Hispana	DFIS	9	49	16	
-agar		Uzesas kun vorti di instrumento por formacar verbi qui signifikas « agar per... ». Exemple : krucagar : agar per kruco (por mortigar ulu); klovagar : agar per klovi (por fixigar ulo : planki, e c.); agrafagar, butonagar, e c.					10	2	17	sen-lingua
agacar	trans.	Produktar mikra iriteso nervala o psikala – exemple per la froto di kultelo pozita vertikale sur plado o sur vitroplako, e c.			Franca	F	10	7	17	
agama	biol.	Sen uniono intersexua					10	11	17	sen-lingua
agapo	religio	Repasto quan, origine, la Kristani agis komune			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	10	13	17	
agar-agaro		Gelatino vejetantala, obtenita de mar-algi					10	16	17	sen-lingua
agariko	bot.	Nomo di fungi diversa-sorta, manjebla o venenoza	agaricus		Angla,Franca,Italiana,Rusa,Hispana	EFIRS	10	18	17	
agato	mineral.	Petro harda, varietato di quarco, qua divenas briloza per poliseso			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	10	21	17	
agavo	bot.	Genero de amarilidacei, qua devenas de Amerika, e konsistas ye cirkume cent speci Amerikana; olua sapo, sukroza e tre abundanta, uzesas da la Mexikiani por preparar drinkaji fermentacita	agave		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	10	24	17	
agendo		Registro, kayereto, di qua singla folio, qua indikas la dio-quantesmo di la monato, uzesas por notar sur lu to quon onu havas kom agenda			Germana,Angla,Franca,Italiana,Hispana	DEFIS	10	29	17	
agento		La persono qua esas komisita pri agor vice la komisinto			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	10	33	17	
agitar	trans.	Dis-movigar (liquido, la spiriti di publiko), sukusar omna-sinse			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	10	36	17	
aglo		(zool.) Rapt-ucelo jornala, di qua la regardo esas tre perceptiva; la flugo, rapida; la beko, tre forta, bazo-rekta, e kurvigita nur ye lua pinto ¶ To quo *weras aglo kom emblemo (standardi, blazono, orden-insigno)	aquila		Angla,Franca,Italiana,Hispana	EFIS	10	39	17	
aglomerar	trans.	Asemblar por formacar maso kompakta			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	10	45	17	
aglosio	patol.	Absenteso di la lango					10	47	17	sen-lingua
aglutinar	trans.	Interglutinar plura kozi tale ke li divenas una			Germana,Angla,Franca,Italiana,Hispana	DEFIS	10	49	17	
agnelo		Muton-yuno, en la senco religiala e poeziala			Franca,Italiana,Rusa	FIR	10	52	17	
agnoskar	trans.	Lasar enirar sua spirito kom vera, valida, yusta, legale konstitucita			Latina	L	11	3	18	
agoniar	netrans.	Esar la objekto di la lukto lasta da naturo kontre morto, en la korpo di vivanto			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	11	6	18	
agorafobio		Pavoro morba, da ula personi, kande li devas trans-irar placo, strado, ponto			Angla,Franca,Italiana,Rusa,Hispana	EFIRS	11	9	18	
agosto		La monato okesma di la yaro kalendarala					11	12	18	sen-lingua
agro		Tereno sen-tekta e plata, limitizita por uzeso partikulara ¶ Tereno por kultivado, ne cirkondata da muri			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	11	14	18	
agrafo		(arkitekt.) Krampono fera qua inter-adherigas la quadri di muro ¶ (vesto) Roketo metala qua uzesas por interjuntar la du bordi inter-opozanta di vesto, fixigita sur ica, ed eniranta ringo, fixigita sur ita			Germana,Angla,Franca,Italiana,Hispana	DEFIS	11	18	18	
agreabla	ad	Qua donas plezuro (ad ulu)			Angla,Franca,Italiana,Hispana	EFIS	11	23	18	
agregar	trans.	Interunionar – por formacar ek li ensemblo – molekuli, partikuli materio ¶ Unionar ad ensemblo, a korpo ¶ (en la universitato di Francia) agregito : la persono qua, pro sucesir lor la konkurso pri Io, deklaresas kapabla pri docar en liceo, en fakultato. (ta grado esas min alta kam doktoreso)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	11	25	18	
agrimonio	bot.	Planto rozacea, kun mikra flori qui esas dispozita spike, olim uzita kom astriktivo	agrimonia eupatoria		Germana,Angla,Franca,Italiana,Hispana	DEFIS	11	32	18	
agronomo		Persono experta pri la cienco « agrokultivo »			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	11	36	18	
agronomio		La cienco qua donas la reguli di agrokultivo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	11	38	18	
agulo		Stangeto ek stalo polisita, di qua un extremajo esas pinta, e la altra, obtuzigita, ed un-trua, por recevar filo ¶ Mikra stango di qua un extremajo esas pinta. (agulo di relvoyo : parti di reli movebla, uzata por igar la treni pasar bifurke de ca a ta relvoyo)			Franca,Italiana,Hispana	FIS	11	41	18	
